fecha	cp	minsplit	minbucket	maxdepth	xval_repeats	xval_folds	ganancia	iteracion
20230906 170010	-0.328820197969185	2089	461	6	10	5	69881700	286
20230906 170531	-0.316259972186799	2086	466	6	10	5	69878900	287
20230906 171047	-0.340618534439495	2204	470	6	10	5	69880300	288
20230906 171827	-0.33117567674352	6494	469	20	10	5	52929100	289
20230906 172607	-0.999885747653562	6659	517	20	10	5	52843000	290
20230906 173123	-0.340480162866556	2307	1138	6	10	5	60841200	291
20230906 173837	-0.0955507800171164	7121	502	11	10	5	51723700	292
20230906 174410	-0.117521922787738	893	441	6	10	5	67499600	293
20230906 174717	-0.412751379258265	7998	5	3	10	5	50812300	294
20230906 175358	-0.999524495495989	3470	1734	10	10	5	59716300	295
20230906 180325	-0.640027063662438	8000	93	20	10	5	50526000	296
20230906 181150	-0.121506271618943	2845	463	17	10	5	67516400	297
20230906 181614	-0.0855717752983399	7998	1	5	10	5	50509200	298
20230906 182300	-0.234356800752708	3863	1549	17	10	5	58599800	299
20230906 182824	-0.52030541043076	2035	322	6	10	5	69731900	300
20230906 183653	-0.461087180525644	2694	460	20	10	5	67380600	301
20230906 184207	-0.999465349355088	4284	1219	6	10	5	59318000	302
20230906 184737	-0.612846116597257	1646	212	6	10	5	69292300	303
20230906 185100	0.0960783385135259	7998	3999	20	10	5	0	304
20230906 185653	-0.0978895153132222	8000	2921	15	10	5	51454900	305
20230906 190200	-0.0708003199872705	7992	3520	6	10	5	51424100	306
20230906 190728	-0.774560603504666	2213	476	6	10	5	70044100	307
20230906 191249	-0.973747156126586	678	332	6	10	5	68594400	308
20230906 191805	-0.0999764647196044	2238	454	6	10	5	69890800	309
20230906 192301	-0.999666250039155	7996	3287	6	10	5	51541700	310
20230906 192724	-0.45985404389032	7999	696	5	10	5	51268700	311
20230906 193300	-0.440594362275344	7997	3276	18	10	5	51541700	312
20230906 193817	-0.776502126480221	2197	521	6	10	5	69238400	313
20230906 194339	-0.610086959199692	1627	314	6	10	5	69440700	314
20230906 195020	-0.137183474490941	2264	464	8	10	5	68611200	315
20230906 195547	-0.181242712318371	2211	471	6	10	5	69946100	316
